Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
NuGet.0001,NuGet package is incompatible,Active,Mandatory,1,ShopifyAutoShirtPrinting\ShopifyEasyShirtPrinting.csproj,File,ShopifyAutoShirtPrinting\ShopifyEasyShirtPrinting.csproj,,,MahApps.Metro.IconPacks.Core 6.2.1,,,,,"MahApps.Metro.IconPacks.Core, 6.2.1  Recommendation:  No supported version found"
NuGet.0001,NuGet package is incompatible,Active,Mandatory,1,ShopifyAutoShirtPrinting\ShopifyEasyShirtPrinting.csproj,File,ShopifyAutoShirtPrinting\ShopifyEasyShirtPrinting.csproj,,,MahApps.Metro.IconPacks.Entypo 6.2.1,,,,,"MahApps.Metro.IconPacks.Entypo, 6.2.1  Recommendation:  MahApps.Metro.IconPacks.Entypo, 4.11.0"
NuGet.0001,NuGet package is incompatible,Active,Mandatory,1,ShopifyAutoShirtPrinting\ShopifyEasyShirtPrinting.csproj,File,ShopifyAutoShirtPrinting\ShopifyEasyShirtPrinting.csproj,,,MahApps.Metro.IconPacks.EvaIcons 6.2.1,,,,,"MahApps.Metro.IconPacks.EvaIcons, 6.2.1  Recommendation:  MahApps.Metro.IconPacks.EvaIcons, 4.11.0"
NuGet.0001,NuGet package is incompatible,Active,Mandatory,1,ShopifyAutoShirtPrinting\ShopifyEasyShirtPrinting.csproj,File,ShopifyAutoShirtPrinting\ShopifyEasyShirtPrinting.csproj,,,MahApps.Metro.IconPacks.FeatherIcons 6.2.1,,,,,"MahApps.Metro.IconPacks.FeatherIcons, 6.2.1  Recommendation:  MahApps.Metro.IconPacks.FeatherIcons, 4.11.0"
NuGet.0001,NuGet package is incompatible,Active,Mandatory,1,ShopifyAutoShirtPrinting\ShopifyEasyShirtPrinting.csproj,File,ShopifyAutoShirtPrinting\ShopifyEasyShirtPrinting.csproj,,,MahApps.Metro.IconPacks.FileIcons 6.2.1,,,,,"MahApps.Metro.IconPacks.FileIcons, 6.2.1  Recommendation:  MahApps.Metro.IconPacks.FileIcons, 4.11.0"
NuGet.0001,NuGet package is incompatible,Active,Mandatory,1,ShopifyAutoShirtPrinting\ShopifyEasyShirtPrinting.csproj,File,ShopifyAutoShirtPrinting\ShopifyEasyShirtPrinting.csproj,,,MahApps.Metro.IconPacks.Fontaudio 6.2.1,,,,,"MahApps.Metro.IconPacks.Fontaudio, 6.2.1  Recommendation:  MahApps.Metro.IconPacks.Fontaudio, 4.11.0"
NuGet.0001,NuGet package is incompatible,Active,Mandatory,1,ShopifyAutoShirtPrinting\ShopifyEasyShirtPrinting.csproj,File,ShopifyAutoShirtPrinting\ShopifyEasyShirtPrinting.csproj,,,MahApps.Metro.IconPacks.FontAwesome 6.2.1,,,,,"MahApps.Metro.IconPacks.FontAwesome, 6.2.1  Recommendation:  MahApps.Metro.IconPacks.FontAwesome, 4.11.0"
NuGet.0001,NuGet package is incompatible,Active,Mandatory,1,ShopifyAutoShirtPrinting\ShopifyEasyShirtPrinting.csproj,File,ShopifyAutoShirtPrinting\ShopifyEasyShirtPrinting.csproj,,,MahApps.Metro.IconPacks.FontAwesome5 6.2.1,,,,,"MahApps.Metro.IconPacks.FontAwesome5, 6.2.1  Recommendation:  No supported version found"
NuGet.0001,NuGet package is incompatible,Active,Mandatory,1,ShopifyAutoShirtPrinting\ShopifyEasyShirtPrinting.csproj,File,ShopifyAutoShirtPrinting\ShopifyEasyShirtPrinting.csproj,,,MahApps.Metro.IconPacks.FontAwesome6 6.2.1,,,,,"MahApps.Metro.IconPacks.FontAwesome6, 6.2.1  Recommendation:  No supported version found"
NuGet.0001,NuGet package is incompatible,Active,Mandatory,1,ShopifyAutoShirtPrinting\ShopifyEasyShirtPrinting.csproj,File,ShopifyAutoShirtPrinting\ShopifyEasyShirtPrinting.csproj,,,MahApps.Metro.IconPacks.Fontisto 6.2.1,,,,,"MahApps.Metro.IconPacks.Fontisto, 6.2.1  Recommendation:  MahApps.Metro.IconPacks.Fontisto, 4.11.0"
